;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/14/2025 10:51:12 PM
;----------------------------------------------

;Address Opcode 	ASM
0x041C	0x084A      	MOVF       FARG_Lcd_Chr_out_char, 0
0x041D	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x041E	0x2090      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,81 :: 		
0x041F	0x1683      	BSF        STATUS, 5
0x0420	0x143C      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,82 :: 		
L_end_Lcd_Chr:
0x0421	0x0008      	RETURN
; end of _Lcd_Chr
_int2double:
;__Lib_MathDouble.c,1812 :: 		
;__Lib_MathDouble.c,1818 :: 		
0x0422	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,1819 :: 		
0x0423	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,1820 :: 		
0x0424	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1821 :: 		
0x0425	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,1822 :: 		
0x0426	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,1823 :: 		
0x0427	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1824 :: 		
0x0428	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1825 :: 		
0x0429	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1826 :: 		
0x042A	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,1829 :: 		
0x042B	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,1830 :: 		
0x042C	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,1832 :: 		
0x042D	0x3096      	MOVLW      150
;__Lib_MathDouble.c,1833 :: 		
0x042E	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1834 :: 		
0x042F	0x01FA      	CLRF       R10
;__Lib_MathDouble.c,1835 :: 		
0x0430	0x1FF0      	BTFSS      R0, 7
;__Lib_MathDouble.c,1836 :: 		
0x0431	0x2C38      	GOTO       FLO1632EEE
;__Lib_MathDouble.c,1838 :: 		
0x0432	0x09F8      	COMF       R8, 1
;__Lib_MathDouble.c,1839 :: 		
0x0433	0x09F0      	COMF       R0, 1
;__Lib_MathDouble.c,1841 :: 		
0x0434	0x0AF8      	INCF       R8, 1
;__Lib_MathDouble.c,1842 :: 		
0x0435	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1843 :: 		
0x0436	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,1845 :: 		
0x0437	0x17FA      	BSF        R10, 7
;__Lib_MathDouble.c,1846 :: 		
FLO1632EEE:
;__Lib_MathDouble.c,1847 :: 		
0x0438	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1848 :: 		
0x0439	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1849 :: 		
0x043A	0x0878      	MOVF       R8, 0
;__Lib_MathDouble.c,1850 :: 		
0x043B	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1851 :: 		
0x043C	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,1852 :: 		
0x043D	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1854 :: 		
0x043E	0x215E      	CALL       _NRM3232
;__Lib_MathDouble.c,1855 :: 		
L_end_int2double:
0x043F	0x0008      	RETURN
; end of _int2double
_Distance:
;MyProject.c,136 :: 		unsigned int Distance() {
;MyProject.c,139 :: 		int tdist = 5;
;MyProject.c,140 :: 		SET_BIT5_HIGH(INTCON);
0x0440	0x168B      	BSF        INTCON, 5
;MyProject.c,141 :: 		SET_BIT3_HIGH(PORTC);               //TRIGGER HIGH
0x0441	0x1283      	BCF        STATUS, 5
0x0442	0x1303      	BCF        STATUS, 6
0x0443	0x1587      	BSF        PORTC, 3
;MyProject.c,142 :: 		mydelayus(10);               //10uS Delay
0x0444	0x300A      	MOVLW      10
0x0445	0x1683      	BSF        STATUS, 5
0x0446	0x00CC      	MOVWF      FARG_mydelayus_count
0x0447	0x3000      	MOVLW      0
0x0448	0x00CD      	MOVWF      FARG_mydelayus_count+1
0x0449	0x212A      	CALL       _mydelayus
;MyProject.c,143 :: 		SET_BIT3_LOW(PORTC);           //TRIGGER LOW
0x044A	0x1187      	BCF        PORTC, 3
;MyProject.c,145 :: 		while (IS_BIT4_LOW(PORTC));           //Waiting for Echo
L_Distance7:
0x044B	0x3010      	MOVLW      16
0x044C	0x0507      	ANDWF      PORTC, 0
0x044D	0x00F0      	MOVWF      R0
0x044E	0x3000      	MOVLW      0
0x044F	0x3900      	ANDLW      0
0x0450	0x00F1      	MOVWF      R0+1
0x0451	0x09F0      	COMF       R0, 1
0x0452	0x09F1      	COMF       R0+1, 1
0x0453	0x0870      	MOVF       R0, 0
0x0454	0x0471      	IORWF      R0+1, 0
0x0455	0x1903      	BTFSC      STATUS, 2
0x0456	0x2C58      	GOTO       L_Distance8
0x0457	0x2C4B      	GOTO       L_Distance7
L_Distance8:
;MyProject.c,146 :: 		TMR0 = 0;
0x0458	0x0181      	CLRF       TMR0
;MyProject.c,147 :: 		oftmr0 = 0;
0x0459	0x01BF      	CLRF       _oftmr0
0x045A	0x01C0      	CLRF       _oftmr0+1
;MyProject.c,148 :: 		while (IS_BIT4_HIGH(PORTC));            //Waiting for Echo goes LOW
L_Distance9:
0x045B	0x1E07      	BTFSS      PORTC, 4
0x045C	0x2C5E      	GOTO       L_Distance10
0x045D	0x2C5B      	GOTO       L_Distance9
L_Distance10:
;MyProject.c,149 :: 		tdist = oftmr0 * 256 + TMR0;   //Reads Timer Value
0x045E	0x083F      	MOVF       _oftmr0, 0
0x045F	0x00F1      	MOVWF      R0+1
0x0460	0x01F0      	CLRF       R0
0x0461	0x0801      	MOVF       TMR0, 0
0x0462	0x07F0      	ADDWF      R0, 1
0x0463	0x1803      	BTFSC      STATUS, 0
0x0464	0x0AF1      	INCF       R0+1, 1
;MyProject.c,150 :: 		tdist = tdist / 58.82;                //Converts Time to Distance
0x0465	0x2422      	CALL       _int2double
0x0466	0x30AE      	MOVLW      174
0x0467	0x00F4      	MOVWF      R4
0x0468	0x3047      	MOVLW      71
0x0469	0x00F5      	MOVWF      R4+1
0x046A	0x306B      	MOVLW      107
0x046B	0x00F6      	MOVWF      R4+2
0x046C	0x3084      	MOVLW      132
0x046D	0x00F7      	MOVWF      R4+3
0x046E	0x21D1      	CALL       _Div_32x32_FP
0x046F	0x2353      	CALL       _double2int
;MyProject.c,151 :: 		SET_BIT5_LOW(INTCON);
0x0470	0x128B      	BCF        INTCON, 5
;MyProject.c,152 :: 		return tdist;
;MyProject.c,153 :: 		}
L_end_Distance:
0x0471	0x0008      	RETURN
; end of _Distance
_Div_8X8_U:
;__Lib_Math.c,189 :: 		
;__Lib_Math.c,196 :: 		
0x0472	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,197 :: 		
0x0473	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,198 :: 		
0x0474	0x01F8      	CLRF       R8
;__Lib_Math.c,199 :: 		
0x0475	0x3008      	MOVLW      8
;__Lib_Math.c,200 :: 		
0x0476	0x00FC      	MOVWF      R12
;__Lib_Math.c,201 :: 		
0x0477	0x0D70      	RLF        R0, 0
;__Lib_Math.c,202 :: 		
0x0478	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,203 :: 		
0x0479	0x0874      	MOVF       R4, 0
;__Lib_Math.c,204 :: 		
0x047A	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,205 :: 		
0x047B	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,206 :: 		
0x047C	0x2C7F      	GOTO       $+3
;__Lib_Math.c,207 :: 		
0x047D	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,208 :: 		
0x047E	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,209 :: 		
0x047F	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,210 :: 		
0x0480	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,211 :: 		
0x0481	0x2C77      	GOTO       $-10
;__Lib_Math.c,213 :: 		
L_end_Div_8X8_U:
0x0482	0x0008      	RETURN
; end of _Div_8X8_U
_dht11disp:
;MyProject.c,345 :: 		void dht11disp()
;MyProject.c,347 :: 		StartSignal();
0x0483	0x233E      	CALL       _StartSignal
;MyProject.c,348 :: 		CheckResponse();
0x0484	0x2318      	CALL       _CheckResponse
;MyProject.c,349 :: 		if (Check == 1) {
0x0485	0x086B      	MOVF       _Check, 0
0x0486	0x3A01      	XORLW      1
0x0487	0x1D03      	BTFSS      STATUS, 2
0x0488	0x2D45      	GOTO       L_dht11disp44
;MyProject.c,350 :: 		RH_byte1 = ReadData();
0x0489	0x22B8      	CALL       _ReadData
0x048A	0x0870      	MOVF       R0, 0
0x048B	0x00BE      	MOVWF      _RH_byte1
;MyProject.c,351 :: 		RH_byte2 = ReadData();
0x048C	0x22B8      	CALL       _ReadData
0x048D	0x0870      	MOVF       R0, 0
0x048E	0x00BD      	MOVWF      _RH_byte2
;MyProject.c,352 :: 		T_byte1 = ReadData();
0x048F	0x22B8      	CALL       _ReadData
0x0490	0x0870      	MOVF       R0, 0
0x0491	0x00C0      	MOVWF      _T_byte1
;MyProject.c,353 :: 		T_byte2 = ReadData();
0x0492	0x22B8      	CALL       _ReadData
0x0493	0x0870      	MOVF       R0, 0
0x0494	0x00C5      	MOVWF      _T_byte2
;MyProject.c,354 :: 		Sum = ReadData();
0x0495	0x22B8      	CALL       _ReadData
0x0496	0x0870      	MOVF       R0, 0
0x0497	0x00C3      	MOVWF      _Sum
0x0498	0x01C4      	CLRF       _Sum+1
;MyProject.c,355 :: 		if (Sum == ((RH_byte1 + RH_byte2 + T_byte1 + T_byte2) & 0XFF)) {
0x0499	0x083D      	MOVF       _RH_byte2, 0
0x049A	0x073E      	ADDWF      _RH_byte1, 0
0x049B	0x00F0      	MOVWF      R0
0x049C	0x01F1      	CLRF       R0+1
0x049D	0x1803      	BTFSC      STATUS, 0
0x049E	0x0AF1      	INCF       R0+1, 1
0x049F	0x0840      	MOVF       _T_byte1, 0
0x04A0	0x07F0      	ADDWF      R0, 1
0x04A1	0x1803      	BTFSC      STATUS, 0
0x04A2	0x0AF1      	INCF       R0+1, 1
0x04A3	0x0845      	MOVF       _T_byte2, 0
0x04A4	0x07F0      	ADDWF      R0, 1
0x04A5	0x1803      	BTFSC      STATUS, 0
0x04A6	0x0AF1      	INCF       R0+1, 1
0x04A7	0x30FF      	MOVLW      255
0x04A8	0x0570      	ANDWF      R0, 0
0x04A9	0x00F2      	MOVWF      R2
0x04AA	0x0871      	MOVF       R0+1, 0
0x04AB	0x00F3      	MOVWF      R2+1
0x04AC	0x3000      	MOVLW      0
0x04AD	0x05F3      	ANDWF      R2+1, 1
0x04AE	0x0844      	MOVF       _Sum+1, 0
0x04AF	0x0673      	XORWF      R2+1, 0
0x04B0	0x1D03      	BTFSS      STATUS, 2
0x04B1	0x2CB4      	GOTO       L__dht11disp87
0x04B2	0x0872      	MOVF       R2, 0
0x04B3	0x0643      	XORWF      _Sum, 0
L__dht11disp87:
0x04B4	0x1D03      	BTFSS      STATUS, 2
0x04B5	0x2D35      	GOTO       L_dht11disp45
;MyProject.c,356 :: 		Temp = T_byte1;
0x04B6	0x0840      	MOVF       _T_byte1, 0
0x04B7	0x00C1      	MOVWF      _Temp
0x04B8	0x01C2      	CLRF       _Temp+1
;MyProject.c,357 :: 		RH = RH_byte1;
0x04B9	0x083E      	MOVF       _RH_byte1, 0
0x04BA	0x1283      	BCF        STATUS, 5
0x04BB	0x00EE      	MOVWF      _RH
0x04BC	0x01EF      	CLRF       _RH+1
;MyProject.c,358 :: 		Lcd_Cmd(_LCD_CLEAR);
0x04BD	0x3001      	MOVLW      1
0x04BE	0x1683      	BSF        STATUS, 5
0x04BF	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x04C0	0x2090      	CALL       _Lcd_Cmd
;MyProject.c,359 :: 		Lcd_Out(1, 6, "Temp: C");
0x04C1	0x3001      	MOVLW      1
0x04C2	0x1683      	BSF        STATUS, 5
0x04C3	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x04C4	0x3006      	MOVLW      6
0x04C5	0x00C9      	MOVWF      FARG_Lcd_Out_column
0x04C6	0x304D      	MOVLW      ?lstr1_MyProject
0x04C7	0x00CA      	MOVWF      FARG_Lcd_Out_text
0x04C8	0x2190      	CALL       _Lcd_Out
;MyProject.c,360 :: 		Lcd_Out(2, 2, "Humidity: %");
0x04C9	0x3002      	MOVLW      2
0x04CA	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x04CB	0x3002      	MOVLW      2
0x04CC	0x00C9      	MOVWF      FARG_Lcd_Out_column
0x04CD	0x3041      	MOVLW      ?lstr2_MyProject
0x04CE	0x00CA      	MOVWF      FARG_Lcd_Out_text
0x04CF	0x2190      	CALL       _Lcd_Out
;MyProject.c,361 :: 		LCD_Chr(1, 12, 48 + ((Temp / 10) % 10));
0x04D0	0x3001      	MOVLW      1
0x04D1	0x00C8      	MOVWF      FARG_Lcd_Chr_row
0x04D2	0x300C      	MOVLW      12
0x04D3	0x00C9      	MOVWF      FARG_Lcd_Chr_column
0x04D4	0x300A      	MOVLW      10
0x04D5	0x00F4      	MOVWF      R4
0x04D6	0x3000      	MOVLW      0
0x04D7	0x00F5      	MOVWF      R4+1
0x04D8	0x0841      	MOVF       _Temp, 0
0x04D9	0x00F0      	MOVWF      R0
0x04DA	0x0842      	MOVF       _Temp+1, 0
0x04DB	0x00F1      	MOVWF      R0+1
0x04DC	0x229B      	CALL       _Div_16X16_U
0x04DD	0x300A      	MOVLW      10
0x04DE	0x00F4      	MOVWF      R4
0x04DF	0x3000      	MOVLW      0
0x04E0	0x00F5      	MOVWF      R4+1
0x04E1	0x229B      	CALL       _Div_16X16_U
0x04E2	0x0878      	MOVF       R8, 0
0x04E3	0x00F0      	MOVWF      R0
0x04E4	0x0879      	MOVF       R8+1, 0
0x04E5	0x00F1      	MOVWF      R0+1
0x04E6	0x0870      	MOVF       R0, 0
0x04E7	0x3E30      	ADDLW      48
0x04E8	0x1683      	BSF        STATUS, 5
0x04E9	0x00CA      	MOVWF      FARG_Lcd_Chr_out_char
0x04EA	0x23EB      	CALL       _Lcd_Chr
;MyProject.c,362 :: 		LCD_Chr(1, 13, 48 + (Temp % 10));
0x04EB	0x3001      	MOVLW      1
0x04EC	0x00C8      	MOVWF      FARG_Lcd_Chr_row
0x04ED	0x300D      	MOVLW      13
0x04EE	0x00C9      	MOVWF      FARG_Lcd_Chr_column
0x04EF	0x300A      	MOVLW      10
0x04F0	0x00F4      	MOVWF      R4
0x04F1	0x3000      	MOVLW      0
0x04F2	0x00F5      	MOVWF      R4+1
0x04F3	0x0841      	MOVF       _Temp, 0
0x04F4	0x00F0      	MOVWF      R0
0x04F5	0x0842      	MOVF       _Temp+1, 0
0x04F6	0x00F1      	MOVWF      R0+1
0x04F7	0x229B      	CALL       _Div_16X16_U
0x04F8	0x0878      	MOVF       R8, 0
0x04F9	0x00F0      	MOVWF      R0
0x04FA	0x0879      	MOVF       R8+1, 0
0x04FB	0x00F1      	MOVWF      R0+1
0x04FC	0x0870      	MOVF       R0, 0
0x04FD	0x3E30      	ADDLW      48
0x04FE	0x1683      	BSF        STATUS, 5
0x04FF	0x00CA      	MOVWF      FARG_Lcd_Chr_out_char
0x0500	0x23EB      	CALL       _Lcd_Chr
;MyProject.c,363 :: 		LCD_Chr(2, 12, 48 + ((RH / 10) % 10));
0x0501	0x3002      	MOVLW      2
0x0502	0x00C8      	MOVWF      FARG_Lcd_Chr_row
0x0503	0x300C      	MOVLW      12
0x0504	0x00C9      	MOVWF      FARG_Lcd_Chr_column
0x0505	0x300A      	MOVLW      10
0x0506	0x00F4      	MOVWF      R4
0x0507	0x3000      	MOVLW      0
0x0508	0x00F5      	MOVWF      R4+1
0x0509	0x1283      	BCF        STATUS, 5
0x050A	0x086E      	MOVF       _RH, 0
0x050B	0x00F0      	MOVWF      R0
0x050C	0x086F      	MOVF       _RH+1, 0
0x050D	0x00F1      	MOVWF      R0+1
0x050E	0x229B      	CALL       _Div_16X16_U
0x050F	0x300A      	MOVLW      10
0x0510	0x00F4      	MOVWF      R4
0x0511	0x3000      	MOVLW      0
0x0512	0x00F5      	MOVWF      R4+1
0x0513	0x229B      	CALL       _Div_16X16_U
0x0514	0x0878      	MOVF       R8, 0
0x0515	0x00F0      	MOVWF      R0
0x0516	0x0879      	MOVF       R8+1, 0
0x0517	0x00F1      	MOVWF      R0+1
0x0518	0x0870      	MOVF       R0, 0
0x0519	0x3E30      	ADDLW      48
0x051A	0x1683      	BSF        STATUS, 5
0x051B	0x00CA      	MOVWF      FARG_Lcd_Chr_out_char
0x051C	0x23EB      	CALL       _Lcd_Chr
;MyProject.c,364 :: 		LCD_Chr(2, 13, 48 + (RH % 10));
0x051D	0x3002      	MOVLW      2
0x051E	0x00C8      	MOVWF      FARG_Lcd_Chr_row
0x051F	0x300D      	MOVLW      13
0x0520	0x00C9      	MOVWF      FARG_Lcd_Chr_column
0x0521	0x300A      	MOVLW      10
0x0522	0x00F4      	MOVWF      R4
0x0523	0x3000      	MOVLW      0
0x0524	0x00F5      	MOVWF      R4+1
0x0525	0x1283      	BCF        STATUS, 5
0x0526	0x086E      	MOVF       _RH, 0
0x0527	0x00F0      	MOVWF      R0
0x0528	0x086F      	MOVF       _RH+1, 0
0x0529	0x00F1      	MOVWF      R0+1
0x052A	0x229B      	CALL       _Div_16X16_U
0x052B	0x0878      	MOVF       R8, 0
0x052C	0x00F0      	MOVWF      R0
0x052D	0x0879      	MOVF       R8+1, 0
0x052E	0x00F1      	MOVWF      R0+1
0x052F	0x0870      	MOVF       R0, 0
0x0530	0x3E30      	ADDLW      48
0x0531	0x1683      	BSF        STATUS, 5
0x0532	0x00CA      	MOVWF      FARG_Lcd_Chr_out_char
0x0533	0x23EB      	CALL       _Lcd_Chr
;MyProject.c,365 :: 		}
0x0534	0x2D44      	GOTO       L_dht11disp46
L_dht11disp45:
;MyProject.c,367 :: 		Lcd_Cmd(_LCD_CURSOR_OFF); // cursor off
0x0535	0x300C      	MOVLW      12
0x0536	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x0537	0x2090      	CALL       _Lcd_Cmd
;MyProject.c,368 :: 		Lcd_Cmd(_LCD_CLEAR); // clear LCD
0x0538	0x3001      	MOVLW      1
0x0539	0x1683      	BSF        STATUS, 5
0x053A	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x053B	0x2090      	CALL       _Lcd_Cmd
;MyProject.c,369 :: 		Lcd_Out(1, 1, "Check sum error");
0x053C	0x3001      	MOVLW      1
0x053D	0x1683      	BSF        STATUS, 5
0x053E	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x053F	0x3001      	MOVLW      1
0x0540	0x00C9      	MOVWF      FARG_Lcd_Out_column
0x0541	0x3055      	MOVLW      ?lstr3_MyProject
0x0542	0x00CA      	MOVWF      FARG_Lcd_Out_text
0x0543	0x2190      	CALL       _Lcd_Out
;MyProject.c,370 :: 		}
L_dht11disp46:
;MyProject.c,371 :: 		}
0x0544	0x2D57      	GOTO       L_dht11disp47
L_dht11disp44:
0x0545	0x1683      	BSF        STATUS, 5
;MyProject.c,374 :: 		Lcd_Out(1, 3, "No response");
0x0546	0x3001      	MOVLW      1
0x0547	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x0548	0x3003      	MOVLW      3
0x0549	0x00C9      	MOVWF      FARG_Lcd_Out_column
0x054A	0x30B0      	MOVLW      ?lstr4_MyProject
0x054B	0x00CA      	MOVWF      FARG_Lcd_Out_text
0x054C	0x2190      	CALL       _Lcd_Out
;MyProject.c,375 :: 		Lcd_Out(2, 1, "from the sensor");
0x054D	0x3002      	MOVLW      2
0x054E	0x00C8      	MOVWF      FARG_Lcd_Out_row
0x054F	0x3001      	MOVLW      1
0x0550	0x00C9      	MOVWF      FARG_Lcd_Out_column
0x0551	0x30A0      	MOVLW      ?lstr5_MyProject
0x0552	0x00CA      	MOVWF      FARG_Lcd_Out_text
0x0553	0x2190      	CALL       _Lcd_Out
;MyProject.c,376 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0554	0x3001      	MOVLW      1
0x0555	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x0556	0x2090      	CALL       _Lcd_Cmd
;MyProject.c,377 :: 		}
L_dht11disp47:
;MyProject.c,378 :: 		mydelayms(1000);
0x0557	0x30E8      	MOVLW      232
0x0558	0x1683      	BSF        STATUS, 5
0x0559	0x00CC      	MOVWF      FARG_mydelayms_count
0x055A	0x3003      	MOVLW      3
0x055B	0x00CD      	MOVWF      FARG_mydelayms_count+1
0x055C	0x2105      	CALL       _mydelayms
;MyProject.c,379 :: 		}
L_end_dht11disp:
0x055D	0x0008      	RETURN
; end of _dht11disp
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x055E	0x1683      	BSF        STATUS, 5
0x055F	0x1303      	BCF        STATUS, 6
0x0560	0x1188      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x0561	0x1108      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x0562	0x1208      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x0563	0x1288      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x0564	0x1308      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x0565	0x1388      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x0566	0x1283      	BCF        STATUS, 5
0x0567	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x0568	0x1108      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x0569	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x056A	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x056B	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x056C	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x056D	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x056E	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x056F	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x0570	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x0571	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x0572	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x0573	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x0574	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x0575	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x0576	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x0577	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x0578	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x0579	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x057A	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x057B	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x057C	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x057D	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x057E	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x057F	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x0580	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x0581	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x0582	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x0583	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x0584	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x0585	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x0586	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x0587	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x0588	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x0589	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x058A	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x058B	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x058C	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x058D	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x058E	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x058F	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x0590	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x0591	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x0592	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x0593	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x0594	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x0595	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x0596	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x0597	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x0598	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x0599	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x059A	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x059B	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x059C	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x059D	0x207C      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x059E	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
